"","geneid","gene_name"
"238","FBgn0004364","18w"
"239","FBgn0004368","Ptp4E"
"240","FBgn0004369","Ptp99A"
"241","FBgn0004370","Ptp10D"
"242","FBgn0004380","Klp64D"
"243","FBgn0004396","CrebA"
"244","FBgn0004397","Vinc"
"245","FBgn0004403","RpS14a"
"246","FBgn0004404","RpS14b"
"247","FBgn0004407","DNApol-gamma35"
"248","FBgn0004432","Cyp1"
"249","FBgn0004435","Galphaq"
"250","FBgn0004436","Ubc6"
"251","FBgn0004449","Ten-m"
"252","FBgn0004456","mew"
"253","FBgn0004463","RpIII128"
"254","FBgn0004465","Su(P)"
"255","FBgn0004507","GlyP"
"256","FBgn0004556","Dbp73D"
"257","FBgn0004569","aos"
"258","FBgn0004583","ex"
"259","FBgn0004597","CycC"
"260","FBgn0004611","Plc21C"
"261","FBgn0004620","GluRIIA"
"262","FBgn0004622","TkR99D"
"263","FBgn0004629","Cys"
"264","FBgn0004638","drk"
"265","FBgn0004646","ogre"
"266","FBgn0004648","svr"
"267","FBgn0004654","Pgd"
"268","FBgn0004657","mys"
"269","FBgn0004687","Mlc-c"
"270","FBgn0004698","Xpc"
"271","FBgn0004797","mdy"
"272","FBgn0004811","fs(2)ltoPP43"
"273","FBgn0004828","His3.3B"
"274","FBgn0004852","Ac76E"
"275","FBgn0004856","Bx42"
"276","FBgn0004858","elB"
"277","FBgn0004859","ci"
"278","FBgn0004861","ph-p"
"279","FBgn0004867","RpS2"
"280","FBgn0004885","tok"
"281","FBgn0004888","Scsalpha1"
"282","FBgn0004893","bowl"
"283","FBgn0004901","Prat"
"284","FBgn0004907","14-3-3zeta"
"285","FBgn0004908","Arl2"
"286","FBgn0004910","Eip63F-1"
"287","FBgn0004914","Hnf4"
"288","FBgn0004915","TfIIB"
"289","FBgn0004921","Ggamma1"
"290","FBgn0005278","Sam-S"
"291","FBgn0005322","nmd"
"292","FBgn0005355","Su(fu)"
"293","FBgn0005391","Yp2"
"294","FBgn0005411","U2af50"
"295","FBgn0005427","ewg"
"296","FBgn0005533","RpS17"
"297","FBgn0005536","Mbs"
"298","FBgn0005593","RpL7"
"299","FBgn0005612","Sox14"
"300","FBgn0005626","ple"
"301","FBgn0005648","Pabp2"
"302","FBgn0005659","Ets98B"
"303","FBgn0005666","bt"
"304","FBgn0005672","spi"
"305","FBgn0005674","GluProRS"
"306","FBgn0005777","PpD3"
"307","FBgn0010015","CanA1"
"308","FBgn0010019","Cyp4g1"
"309","FBgn0010038","GstD2"
"310","FBgn0010039","GstD3"
"311","FBgn0010051","Itpr"
"312","FBgn0010053","Jheh1"
"313","FBgn0010078","RpL23"
"314","FBgn0010173","RpA-70"
"315","FBgn0010198","RpS15Aa"
"316","FBgn0010213","Sod2"
"317","FBgn0010215","alpha-Cat"
"318","FBgn0010217","ATPsynbeta"
"319","FBgn0010220","Dbp45A"
"320","FBgn0010225","Gel"
"321","FBgn0010226","GstS1"
"322","FBgn0010228","HmgZ"
"323","FBgn0010238","Lac"
"324","FBgn0010246","Myo61F"
"325","FBgn0010263","Rbp9"
"326","FBgn0010265","RpS13"
"327","FBgn0010292","bys"
"328","FBgn0010340","140up"
"329","FBgn0010348","Arf79F"
"330","FBgn0010350","Cds"
"331","FBgn0010352","Nc73EF"
"332","FBgn0010357","betaTry"
"333","FBgn0010383","Cyp18a1"
"334","FBgn0010385","Def"
"335","FBgn0010387","Acbp2"
"336","FBgn0010388","Dro"
"337","FBgn0010391","SrpRalpha"
"338","FBgn0010397","LamC"
"339","FBgn0010406","RNaseX25"
"340","FBgn0010408","RpS9"
"341","FBgn0010409","RpL18A"
"342","FBgn0010411","RpS18"
"343","FBgn0010412","RpS19a"
"344","FBgn0010417","Taf6"
"345","FBgn0010421","TfIIFbeta"
"346","FBgn0010423","TpnC47D"
"347","FBgn0010434","cora"
"348","FBgn0010435","emp"
"349","FBgn0010482","l(2)01289"
"350","FBgn0010516","wal"
"351","FBgn0010520","Bka"
"352","FBgn0010531","Ccs"
"353","FBgn0010548","Aldh-III"
"354","FBgn0010590","Prosbeta1"
"355","FBgn0010591","Sply"
"356","FBgn0010607","l(2)05714"
"357","FBgn0010611","Hmgs"
"358","FBgn0010612","ATPsynG"
"359","FBgn0010620","CG10939"
"360","FBgn0010621","CCT5"
"361","FBgn0010622","DCTN3-p24"
"362","FBgn0010638","Sec61beta"
"363","FBgn0010651","MFS14"
"364","FBgn0010741","Pfdn2"
"365","FBgn0010770","ppan"
"366","FBgn0010786","l(3)02640"
"367","FBgn0010803","TrpRS"
"368","FBgn0010808","Chchd3"
"369","FBgn0010812","unc-45"
"370","FBgn0010894","sinu"
"371","FBgn0010926","l(3)07882"
"372","FBgn0011202","dia"
"373","FBgn0011204","cue"
"374","FBgn0011205","fbl"
"375","FBgn0011207","pelo"
"376","FBgn0011217","eff"
"377","FBgn0011227","ox"
"378","FBgn0011230","poe"
"379","FBgn0011260","Sema2a"
"380","FBgn0011272","RpL13"
"381","FBgn0011274","Dif"
"382","FBgn0011280","Obp19d"
"383","FBgn0011284","RpS4"
"384","FBgn0011286","RyR"
"385","FBgn0011289","TfIIA-L"
"386","FBgn0011296","l(2)efl"
"387","FBgn0011297","Alg3"
"388","FBgn0011305","Rsf1"
"389","FBgn0011336","Stt3B"
"390","FBgn0011476","l(3)neo43"
"391","FBgn0011576","Cyp4d2"
"392","FBgn0011581","Ms"
"393","FBgn0011584","Trp1"
"394","FBgn0011591","fng"
"395","FBgn0011603","ine"
"396","FBgn0011638","La"
"397","FBgn0011642","Zyx"
"398","FBgn0011656","Mef2"
"399","FBgn0011672","Mvl"
"400","FBgn0011674","insc"
"401","FBgn0011695","EbpIII"
"402","FBgn0011705","rost"
"403","FBgn0011708","Syx5"
"404","FBgn0011726","tsr"
"405","FBgn0011740","alpha-Man-IIa"
"406","FBgn0011741","Arp6"
"407","FBgn0011747","Ank"
"408","FBgn0011760","ctp"
"409","FBgn0011763","Dp"
"410","FBgn0011768","Fdh"
"411","FBgn0011769","Fdx1"
"412","FBgn0011770","Gip"
"413","FBgn0011774","Irbp"
"414","FBgn0011824","CG4038"
"415","FBgn0011828","Pxn"
"416","FBgn0012034","AcCoAS"
"417","FBgn0012036","Aldh"
"418","FBgn0012037","Ance"
"419","FBgn0012051","CalpA"
"420","FBgn0013263","Trl"
"421","FBgn0013269","Fkbp39"
"422","FBgn0013272","Gp150"
"423","FBgn0013303","Nca"
"424","FBgn0013305","Nmda1"
"425","FBgn0013307","Odc1"
"426","FBgn0013308","Odc2"
"427","FBgn0013323","Ptth"
"428","FBgn0013325","RpL11"
"429","FBgn0013334","Sap47"
"430","FBgn0013347","TfIIA-S"
"431","FBgn0013348","TpnC41C"
"432","FBgn0013432","bcn92"
"433","FBgn0013469","klu"
"434","FBgn0013563","Pex1"
"435","FBgn0013576","mtd"
"436","FBgn0013672","mt:ATPase6"
"437","FBgn0013674","mt:CoI"
"438","FBgn0013675","mt:CoII"
"439","FBgn0013676","mt:CoIII"
"440","FBgn0013678","mt:Cyt-b"
"441","FBgn0013679","mt:ND1"
"442","FBgn0013680","mt:ND2"
"443","FBgn0013681","mt:ND3"
"444","FBgn0013683","mt:ND4L"
"445","FBgn0013684","mt:ND5"
"446","FBgn0013686","mt:lrRNA"
"447","FBgn0013688","mt:srRNA"
"448","FBgn0013718","nuf"
"449","FBgn0013720","pck"
"450","FBgn0013733","shot"
"451","FBgn0013746","alien"
"452","FBgn0013749","Arf102F"
"453","FBgn0013750","Arf51F"
"454","FBgn0013753","Bgb"
"455","FBgn0013763","Idgf6"
"456","FBgn0013770","Cp1"
"457","FBgn0013772","Cyp6a8"
"458","FBgn0013954","Fkbp12"
"459","FBgn0013987","MAPk-Ak2"
"460","FBgn0013995","Calx"
"461","FBgn0013997","Nrx-IV"
"462","FBgn0014000","Hf"
"463","FBgn0014006","Ask1"
"464","FBgn0014011","Rac2"
"465","FBgn0014018","Rel"
"466","FBgn0014022","Rlb1"
"467","FBgn0014026","RpL7A"
"468","FBgn0014028","SdhB"
"469","FBgn0014031","Spat"
"470","FBgn0014032","Sptr"
"471","FBgn0014033","Sr-CI"
"472","FBgn0014075","Uggt"
"473","FBgn0014092","CG4278"
"474","FBgn0014141","cher"
"475","FBgn0014163","fax"
"476","FBgn0014184","Oda"
"477","FBgn0014343","mirr"
"478","FBgn0014366","noi"
"479","FBgn0014380","RhoL"
"480","FBgn0014388","sty"
"481","FBgn0014391","sun"
"482","FBgn0014396","tim"
"483","FBgn0014417","CG13397"
"484","FBgn0014427","CG11899"
"485","FBgn0014455","Ahcy"
"486","FBgn0014469","Cyp4e2"
"487","FBgn0014863","Mlp84B"
"488","FBgn0014865","Mtk"
"489","FBgn0014868","Ost48"
"490","FBgn0014869","Pglym78"
"491","FBgn0014870","Psi"
"492","FBgn0014877","Roe1"
"493","FBgn0014879","Set"
"494","FBgn0014903","CG14630"
"495","FBgn0014906","Hydr2"
"496","FBgn0014930","CG2846"
"497","FBgn0015000","betaggt-I"
"498","FBgn0015010","Ag5r"
"499","FBgn0015031","cype"
"500","FBgn0015033","Cyp4d8"
"501","FBgn0015034","Cyp4e1"
"502","FBgn0015035","Cyp4e3"
"503","FBgn0015037","Cyp4p1"
"504","FBgn0015038","Cyp9b1"
"505","FBgn0015039","Cyp9b2"
"506","FBgn0015040","Cyp9c1"
"507","FBgn0015221","Fer2LCH"
"508","FBgn0015222","Fer1HCH"
"509","FBgn0015229","glec"
"510","FBgn0015268","Nap1"
"511","FBgn0015277","Pi3K59F"
"512","FBgn0015278","Pi3K68D"
"513","FBgn0015282","Rpt2"
"514","FBgn0015283","Rpn10"
"515","FBgn0015288","RpL22"
"516","FBgn0015299","Ssb-c31a"
"517","FBgn0015331","abs"
"518","FBgn0015338","CG5861"
"519","FBgn0015372","RabX1"
"520","FBgn0015521","RpS21"
"521","FBgn0015522","olf186-M"
"522","FBgn0015527","peng"
"523","FBgn0015544","spag"
"524","FBgn0015546","spel1"
"525","FBgn0015558","tty"
"526","FBgn0015569","alpha-Est10"
"527","FBgn0015570","alpha-Est2"
"528","FBgn0015571","alpha-Est3"
"529","FBgn0015575","alpha-Est7"
"530","FBgn0015576","alpha-Est8"
"531","FBgn0015577","alpha-Est9"
"532","FBgn0015600","toc"
"533","FBgn0015614","CanB2"
"534","FBgn0015623","Cpr"
"535","FBgn0015663","Ugt36A1"
"536","FBgn0015664","Dref"
"537","FBgn0015756","RpL9"
"538","FBgn0015766","Msr-110"
"539","FBgn0015772","Nak"
"540","FBgn0015776","nrv1"
"541","FBgn0015777","nrv2"
"542","FBgn0015781","P5cr"
"543","FBgn0015791","Rab14"
"544","FBgn0015794","Rab18"
"545","FBgn0015801","Reg-5"
"546","FBgn0015803","RtGEF"
"547","FBgn0015808","ScpX"
"548","FBgn0015818","Spx"
"549","FBgn0015829","TfIIEbeta"
"550","FBgn0015834","eIF3i"
"551","FBgn0015872","Drip"
"552","FBgn0015905","ast"
"553","FBgn0015924","crq"
"554","FBgn0015925","csul"
"555","FBgn0016013","Faa"
"556","FBgn0016031","lama"
"557","FBgn0016032","lbm"
"558","FBgn0016038","Vsp37A"
"559","FBgn0016059","Sema1b"
"560","FBgn0016076","vri"
"561","FBgn0016078","wun"
"562","FBgn0016081","fry"
"563","FBgn0016119","ATPsynCF6"
"564","FBgn0016122","Acer"
"565","FBgn0016123","Alp4"
"566","FBgn0016126","CaMKI"
"567","FBgn0016131","Cdk4"
"568","FBgn0016672","Ipp"
"569","FBgn0016675","Lectin-galC1"
"570","FBgn0016684","NaPi-T"
"571","FBgn0016687","Nurf-38"
"572","FBgn0016691","ATPsynO"
"573","FBgn0016694","Pdp1"
"574","FBgn0016697","Prosalpha5"
"575","FBgn0016698","Ptpa"
"576","FBgn0016701","Rab4"
"577","FBgn0016715","Reg-2"
"578","FBgn0016726","RpL29"
"579","FBgn0016756","Usp47"
"580","FBgn0016762","angel"
"581","FBgn0016797","fz2"
"582","FBgn0016917","Stat92E"
"583","FBgn0016926","Pino"
"584","FBgn0016930","Dyrk2"
"585","FBgn0016970","l(2)k10201"
"586","FBgn0017414","cag"
"587","FBgn0017448","CG2187"
"588","FBgn0017457","U2af38"
"589","FBgn0017482","T3dh"
"590","FBgn0017558","Pdk"
"591","FBgn0017566","ND-75"
"592","FBgn0017567","ND-23"
"593","FBgn0017572","Mo25"
"594","FBgn0017578","Max"
"595","FBgn0017579","RpL14"
"596","FBgn0019624","COX5A"
"597","FBgn0019637","Atu"
"598","FBgn0019643","AANAT1"
"599","FBgn0019644","ATPsynB"
"600","FBgn0019830","colt"
"601","FBgn0019890","Smg5"
"602","FBgn0019929","Ser7"
"603","FBgn0019936","RpS20"
"604","FBgn0019938","RpI1"
"605","FBgn0019949","Cdk9"
"606","FBgn0019952","Orct"
"607","FBgn0019957","ND-42"
"608","FBgn0019968","Khc-73"
"609","FBgn0019972","Drice"
"610","FBgn0019982","Gs1l"
"611","FBgn0020235","ATPsyngamma"
