"","geneid","gene_name","type","AICc_01full","AICc_02full","AICc_07full","AICc_08full","AICc_11full","AICc_12full","AICc_13full","AICc_14full","AICc_15full","AICc_16full","AICc_01partial","AICc_02partial","AICc_07partial","AICc_08partial","AICc_11partial","AICc_12partial","AICc_13partial","AICc_14partial","AICc_15partial","AICc_16partial","model","TRUE_lambda"
"7595","FBgn0036775","RpIIIC53",13,429.794033391221,431.644831546726,428.646394089461,430.36941527051,430.013784412392,432.129163373519,425.616375364868,428.525887766868,427.706555320655,431.17218254666,432.763681068451,433.305388044184,434.439930645031,433.046184984859,433.897208981197,435.751210845477,430.766717213566,431.024687735276,431.020960567778,432.301052436976,"13f",0.548365275853614
"7614","FBgn0036804","Sgf11",8,403.968471639399,403.304578788344,403.946942280077,394.912140913813,407.700860178578,407.513929695321,400.311295717909,398.699037763101,404.356062187257,399.511210893803,409.185806461417,411.267452954593,410.856965434868,412.599064543768,410.977741370425,413.070266485889,407.211576196965,409.359859718429,408.906279343732,411.193428957037,"08f",0.0706601769430355
"7633","FBgn0036824","CG3902",8,856.90107901274,808.558553496261,837.505385530483,794.232545875331,860.551190886252,811.448870168616,859.58852878937,804.35682760161,842.986930936928,799.15340839598,854.265834166009,851.902031058015,856.380924709269,836.485591557314,856.135814604362,855.413623939137,857.86356303836,852.948087879769,860.009006172766,840.254921178069,"08f",0.03
"7634","FBgn0036825","RpL26",2,1080.89950890205,1015.97662519367,1079.62674151269,1019.55949490468,1082.47483968635,1019.53851661845,1085.51277097683,1021.04449783777,1078.80108971513,1023.5474608668,1076.50587959051,1056.29521903971,1077.98774998282,1057.77662436096,1078.6011698625,1059.89516766439,1080.31935863716,1060.0249599667,1082.16275736127,1056.43976812767,"02f",0.03
"7637","FBgn0036828","CG6841",2,309.43410714205,279.143070676856,308.932780206372,283.177717077161,310.904798687864,284.3578577739,310.631220861834,284.059424067552,311.735962886239,288.257840092725,316.482221188212,307.04667769525,318.30313282548,312.788038358831,318.319408896225,310.481313775534,319.75782265658,310.562516713801,321.844530269385,314.6536892277,"02f",0.0335282035414175
"7660","FBgn0036857","Aldh7A1",8,736.314198447383,671.848983849274,730.605683186553,662.634774027051,738.263973669795,676.534038690223,740.702721408514,673.611335079754,733.132747608393,667.533345496225,740.932043133199,699.083218778774,742.791412858357,692.426592461202,742.430531296129,714.776797524155,743.632633059069,698.5609296828,745.495677217959,691.387480788713,"08f",0.03
"7701","FBgn0036916","Mtr3",2,342.639832633095,333.274886214636,340.839004939194,338.068511046815,346.713600322873,336.862107851633,342.594904846933,336.880376080945,343.252174833532,341.899563983457,369.02295541663,350.516019074297,365.46621238493,351.524885910329,370.54051466395,360.201287393235,367.171709007879,351.709840213162,366.332002745054,354.022778218005,"02f",0.129457867463855
"7724","FBgn0036942","CG7328",2,398.310694480933,389.638902541265,401.220476766042,395.731864046009,402.636975832679,392.943308333094,401.419134673262,393.184389672457,402.833577000233,397.917816025972,397.044074350258,396.726019533689,398.839021238878,394.724576041751,399.11543782672,400.332562469554,399.998362312465,399.127151326332,402.065202270266,399.025784609663,"02f",0.03
"7748","FBgn0036980","RhoBTB",2,558.552477706179,520.614950677558,563.506486963217,523.76786853984,561.226047404812,522.786159321858,562.150761584343,523.880121084213,564.936568431137,526.406498720826,577.364330697571,530.74076018763,578.725018064438,536.990541374351,579.272256230142,552.539283378031,580.108821195025,530.241817895272,582.280857288488,537.986534128576,"02f",0.402565728581076
"7756","FBgn0036992","Hpd",14,930.091143234951,929.179581112129,927.770479719473,923.259133204592,918.664369061996,913.604561351058,912.689737143795,905.396459231094,916.445504623399,905.765431432148,928.907077785237,930.177873039124,925.153955752872,917.7597592017,925.831111111826,925.574474623735,907.17533603447,900.87354219645,909.126407005031,906.929994680859,"14p",Inf
"7780","FBgn0037019","Pex16",7,470.266983527725,471.542348047827,457.187586656084,459.593545698192,472.497659282427,473.306202233781,463.575857325947,465.803833237073,460.038719561039,462.67900548443,471.428246863254,472.522338903141,449.70158869548,451.86264186094,471.528658945763,473.286044410891,458.94901537205,460.069919826189,451.971567811214,454.22543546016,"07p",Inf
"7781","FBgn0037020","Pex14",8,556.546113799878,541.736435331005,550.48636501888,532.666403110915,559.760782607255,544.549934443926,553.014958487692,537.784145990121,554.412843566512,535.215339412144,555.686639677798,554.754223558057,552.073348352636,553.873827845803,556.82679532007,555.242298961632,548.265644872504,544.635572334867,548.399507134169,548.047459495451,"08f",0.03
"7807","FBgn0037061","CG12975",8,483.862770594256,486.145444087592,484.108896364494,479.623056895028,485.867637621858,487.879214714446,481.973920204889,484.51988472388,484.295493246462,482.18012216658,497.952552051581,498.176557368111,496.93554359538,493.759878713569,498.554163634428,500.723006011373,491.913292570493,493.666934116349,489.75219294401,491.938242355065,"08f",0.0396693127129459
"7815","FBgn0037071","CG7632",15,400.080627179162,401.278126197652,392.854789118566,394.784381537624,398.088786626993,398.716087382674,403.505530017992,399.769479360865,387.019360755412,389.753768494387,407.056938916819,400.035957364118,398.798925035252,396.563056565587,408.920720984641,398.018528145274,405.775370625888,397.595536084411,402.548917928406,395.312291858963,"15f",0.0397239500200372
"7828","FBgn0037093","Cdk12",8,423.514216310899,407.943040381025,424.467923738273,401.543789406106,425.451827759511,410.251241486212,423.720149854215,407.321196052106,426.723370034885,403.9075277393,423.350161781097,415.941431899467,421.721206075796,419.611824916847,424.005992625811,423.504688661376,422.721487526616,414.505292801177,424.175164341897,422.26825516359,"08f",0.759346082804075
"7838","FBgn0037108","Alg11",14,497.007648749043,455.389528557276,499.368475454052,450.657541104452,498.904364995809,447.935178174451,499.958334067742,441.469284627759,500.860978987486,443.040153946983,527.704923200841,461.463570850613,526.406562095824,470.953495892251,529.221829106335,502.820159484962,525.517271445901,435.292365134779,526.984333450228,465.335467579981,"14p",Inf
"7840","FBgn0037110","ORMDL",14,573.296495151558,557.894103957381,573.22051700814,558.26589681878,568.237107832812,555.022848695495,564.811854018113,556.176406355732,569.265943170013,554.476640080708,576.622674530878,555.55072309224,574.770946530114,558.852285044453,571.032556344728,564.244756624548,566.997877000908,551.046764112001,569.086310863562,554.482184428918,"14p",Inf
"7845","FBgn0037120","CG11247",8,351.709709207239,336.607172132964,341.235282279814,333.554645936806,350.894677867966,338.669259274889,352.814757413178,339.098919535936,343.092466726905,336.074151795344,366.042806251062,341.759871837927,363.372608142793,338.953943851623,366.594741719491,349.716158641202,361.382014679343,343.831291948958,361.216579236186,340.418063453026,"08f",0.365814391761563
"7877","FBgn0037164","CG11438",16,460.997365814009,457.589692462212,458.684352549995,452.836404588895,448.394268484428,444.418655944563,445.094946584974,443.910936612325,447.368297804697,439.371866856124,457.621214173112,455.044315278292,453.660977161769,454.867727593958,455.568766009969,456.806473841443,447.176137919447,443.567345735334,448.820850447608,450.461383193134,"16f",1.01052320806906
"7897","FBgn0037186","CG11241",14,483.653608404661,471.899905458382,468.209460567073,452.865926714043,465.021677819623,445.323591253558,448.546333912905,416.527769373203,451.76933213501,421.247711585874,482.697709539789,473.281101143827,470.498802788469,470.881097389369,472.996023017431,447.405653237677,449.499733634935,426.361737294221,449.142311003049,430.273765174377,"14f",0.728895674926544
"7913","FBgn0037218","aux",12,452.948788160362,431.086427849425,456.887442855164,434.592725233511,455.718426504466,423.672771400964,455.18962654458,431.828318269907,459.642838058337,427.873470087841,455.279435443002,452.105441938833,457.394525986262,453.040231776962,457.253313103218,459.108638031339,455.952281922635,449.829146150907,457.667234264008,455.790344989453,"12f",0.0324865077281223
"7922","FBgn0037230","Nepl11",12,778.157836943363,763.505263612834,782.068329345375,768.232086676817,778.838314603488,754.796845674294,778.962191257035,766.418929579326,782.470902266282,759.22021047524,780.316561136947,775.219323208119,781.579501623112,781.677651457389,780.270605511574,778.610640260696,780.667655969907,774.428589691705,782.908065177068,779.861924130821,"12f",0.100459405153743
"7924","FBgn0037232","Suv3",14,303.901767256931,281.251834006345,305.430276590383,277.754798963258,302.928683474437,275.710107874543,300.632999604017,268.195932315388,305.098588442415,271.463233261727,304.17840816138,294.175288371424,302.412258683608,295.152164261922,299.107856359881,292.216270641368,297.921491266833,281.820541340602,299.928808992594,288.92097023286,"14f",0.0405208601005151
"7933","FBgn0037244","CG14647",12,401.529026719816,394.863879523164,404.501779819156,399.476993924005,400.425769816391,388.482693655204,403.661516612077,397.506486404761,402.499557528116,392.004114033249,412.230341079462,413.148434062415,413.87317879228,414.407263616255,407.312507174824,406.035894773941,414.304787840877,416.444783656755,411.657686643755,408.950636793649,"12f",0.03
"7954","FBgn0037288","CG14661",14,1089.52430980826,1084.53072462458,1092.50409118384,1082.89030410854,1085.20881890011,1078.6999400329,1084.93554793059,1075.74720785285,1087.19346093521,1076.4859775518,1085.09330526219,1080.49286295797,1084.42571341908,1084.57682998879,1078.62491602078,1076.77760696057,1079.18614187674,1071.69091711271,1079.38089286639,1077.30698092606,"14p",Inf
"7963","FBgn0037298","Sccpdh1",14,733.791330659309,730.35422260206,727.9026468741,724.630486295911,730.162384075937,721.670384483506,719.872316882341,710.637677809976,724.62867365317,715.76746173291,733.307235392466,734.308184068687,727.905424008997,726.976658493447,727.562639506455,724.886066061306,720.695555222794,720.047958551818,722.327420773942,718.31636726593,"14f",0.0308519411411038
"7965","FBgn0037301","Mms19",16,350.361599282214,348.219691662918,351.841709562033,340.444693978986,347.836484268376,342.096109564498,352.389942969284,343.315340633023,350.285454612352,334.573844059138,355.487584568471,357.496363254519,357.602675111731,359.772947545692,351.062646628179,353.173293836962,355.616222072475,355.666296315199,355.35207222998,357.65689165121,"16f",0.0368766026135361
"7971","FBgn0037313","CG1161",2,593.915449781195,588.609416198774,596.280485541492,592.651740496536,597.78009861021,591.865474598426,596.057971438887,593.176439858208,600.894000071674,596.483947324908,600.894863887514,602.525212469445,602.604601083349,604.744159583076,602.338788069243,604.511531042484,604.656216010004,606.64388843826,606.64388843826,608.788963546394,"02f",0.0452548688993262
"7985","FBgn0037336","CG2519",2,414.892771170804,393.287311990982,419.214243789311,396.283687512252,416.037494197839,397.858176353053,419.27035772726,397.200164431304,420.78071950264,400.939920168262,416.344198839103,399.840765336827,417.223573308388,406.184025853521,418.156657107896,405.012291884613,420.356205972463,403.465730476499,420.700466350719,405.879960502785,"02f",0.699287525533688
"7989","FBgn0037341","CG12746",16,559.43075180869,525.160686945713,550.803336779352,520.848371646201,550.792097303544,517.8665643568,559.315456926996,522.585447846147,540.787308638647,511.713675902713,554.593886523546,546.577775612398,555.887363908108,539.555259273077,550.826364503592,536.312145759425,554.697089814253,542.224759742083,554.747603059067,531.2936966014,"16f",0.03
"7995","FBgn0037351","RpL13A",2,1071.87794481728,1031.09944881436,1067.37196841283,1033.46753241411,1069.67632073537,1034.19341240348,1075.43754563858,1034.79546292357,1064.10698812798,1035.82158589061,1066.63365439439,1052.98382864436,1068.13665501699,1054.10337897932,1068.00839405518,1053.87410321121,1069.97627732009,1054.61237705395,1072.21668652725,1053.82608854079,"02f",0.0332849643040335
"8005","FBgn0037369","CG2100",2,386.517169162462,380.529678233946,390.429407793476,383.609929401664,390.292462822349,383.96520887311,390.962693192564,384.650941792684,394.772426014436,387.386610308108,385.91761348086,387.112111391418,387.993480962873,389.077882395454,387.769088590718,388.858396319555,389.936011168608,390.515173075511,392.176420375769,392.961511384306,"02f",0.0715823044232896
"8011","FBgn0037376","Hat1",8,395.340629613859,393.904841437789,395.621197826645,383.4578604826,397.590642391997,397.177422908546,400.039110999858,396.858567312239,397.390431101156,387.249904584395,397.370769496642,398.970073957995,397.441110968028,398.883356987885,399.174582309899,401.34884157577,400.004629988866,401.121170816596,400.788500002927,402.824161956702,"08f",0.0490905146419697
"8013","FBgn0037378","PSMG1",11,800.909756001927,802.599376096259,803.184201292542,805.200819287949,791.85599965907,793.86059320141,805.000581210068,806.584279212577,794.442342734324,798.838289323915,795.731146169917,797.846236713176,797.522453616015,798.607616745276,797.097664820528,794.892480727751,799.288575225007,801.427325363042,800.69374305523,798.890055144527,"11f",1.00229773956173
"8059","FBgn0037443","Dmtn",8,596.905895561477,560.816544979318,600.396579486551,556.495539892303,598.921577197125,564.774560650227,601.754199272786,562.205216913953,600.9651802629,560.602657169627,611.880429590368,567.610946522051,611.280604147639,572.937322885374,613.58744789094,589.157638072528,615.275322415347,568.078369296928,615.156038806342,569.232935116772,"08f",0.0505240131809104
"8084","FBgn0037481","MAGE",16,406.836622183698,403.84862134854,398.935726804443,398.538333209523,406.118200706499,398.484615880484,410.978821590248,405.695664424438,397.747352708212,394.612944699123,416.52239510376,418.503858842599,414.3162667186,414.728753250967,417.064415068296,417.097647583075,420.311627345346,422.552036552508,416.511220558164,415.904321645662,"16f",0.0703907795660894
"8101","FBgn0037504","CG1142",2,454.197946050299,447.880293565949,457.503431151616,450.068010529046,458.058747515945,452.6509767465,457.130103288468,450.873508214492,461.344335899104,455.270568391093,455.581521317501,454.91042718196,455.467422358018,456.226016128976,456.982359008934,457.027279442949,456.854014889013,456.867368507444,459.008971830268,458.487701084403,"02f",0.05098798835888
"8119","FBgn0037534","ELOVL",16,781.156776775039,774.120152543905,780.279352908138,763.027634164389,756.182034603353,744.755088274651,760.518333032085,737.569257433763,759.305089525775,738.203921523509,775.792146260838,766.570895150782,776.369801785059,778.198560920474,771.810687379347,740.692932816337,760.6819800154,742.090299389807,761.626882322404,730.351956396428,"16p",Inf
"8122","FBgn0037537","CG2767",2,633.333870174399,580.593119928097,636.188666284362,583.397601943029,637.606846073953,583.714015146661,638.26460416862,583.628065172309,640.341128845283,588.366441697397,629.226296551218,604.6521899923,630.506679372195,613.634324038036,630.737064541111,616.452636815985,632.385498877571,608.018191011995,634.499737101536,612.801030225516,"02f",0.03
"8128","FBgn0037544","CG11035",2,346.610894250837,331.138370549169,346.042505478229,333.991783956066,348.398562785579,336.641254916273,350.840194910009,337.475856527749,347.901931449753,336.530976161223,345.150083079524,342.404559373519,345.420083935295,342.647286727883,346.818578929908,344.124878938496,347.984784160969,346.507394989707,347.941461428194,343.10435885645,"02f",0.03
"8140","FBgn0037560","CR18228",12,579.01924517294,486.353107310049,577.637715060199,489.37607614303,582.622552354831,482.260957188243,581.556620385411,487.881449952677,582.954058468003,485.415746330758,573.860470552272,515.09226746849,575.27751921439,541.214726446735,575.878070810949,548.090471003782,576.376099275321,514.254861045022,578.616508482482,541.402918335151,"12f",0.0706104993893525
"8167","FBgn0037603","CG11753",1,476.982431100678,479.176949700261,480.863362848706,483.199842803469,479.583758754167,481.706860995223,479.538527407844,481.380733169513,484.209234633425,486.096419431097,479.464712997196,481.356460720697,481.421158852124,483.428763820377,481.219805058571,483.288444315595,482.604704087746,483.25662721218,484.396414954681,486.703702048624,"01f",0.549183641039024
"8168","FBgn0037606","CG8032",1,345.278573965504,347.807050824697,349.60289210687,352.229311788074,349.211743860926,352.118973115806,349.778989624432,352.118377729446,354.154961291026,356.395935438795,350.345273292491,352.179883475046,351.344891459369,353.456394669609,351.838574188695,353.904377063394,354.121684236562,355.981215450405,354.938178161685,357.245465255627,"01f",0.490122473154004
"8169","FBgn0037607","CG8036",14,1035.45285844134,1009.42646685093,1024.10840776151,1001.84986431871,1033.87860967383,1001.28662484253,1022.48214754393,991.703936764303,1022.39606334903,993.742596236394,1039.22555585696,1016.43585277054,1030.87739798609,999.500729342583,1037.13663449493,1026.03499705122,1022.23848351991,994.791730344768,1023.40446470573,994.741631853613,"14f",0.0305718359415122
"8170","FBgn0037608","mRpL19",14,463.842589616239,452.136616582157,467.539420998591,451.29951731677,464.251600328213,451.728675413509,465.039836685028,448.494996383346,468.477595502393,450.883659463973,480.715714196578,475.934064492328,482.34649079072,484.229338717744,479.712983187384,475.124252739119,477.925994583306,471.972107691946,480.166403790467,477.593625203207,"14f",0.100265527289705
"8171","FBgn0037609","CG9773",2,432.907315386382,377.651372340031,435.055800781498,381.506372042653,430.86893649592,382.100505972178,431.06193009142,381.727325107599,433.195632340211,386.389934502397,428.514092871597,391.298053018477,429.638178897462,411.617087164793,426.080028328921,405.533682951533,426.734971436989,394.920106156579,428.884614034189,405.278893617461,"02f",0.103184073048843
"8185","FBgn0037623","CG9801",8,370.611475537153,363.495315232109,373.741735765437,354.338345487223,371.503504228968,367.417421277468,368.438277962227,360.855764431808,372.123665278424,357.860226208762,364.688436612999,363.026860429439,366.743040360987,368.332338304711,365.746652806838,364.698879971783,366.094514096365,363.574121932925,365.297503063343,366.741731432495,"08f",0.03
"8210","FBgn0037660","beag",1,309.646049266682,311.944830488513,314.166495169991,316.577465730316,312.357047009624,314.776217042858,314.145694832313,316.238517587176,317.155792918703,319.640885381392,317.488341114362,315.136617062494,318.824293984825,318.599593224444,318.485080845165,319.27514563125,320.822826640609,318.679351853881,321.062407285149,321.597461528895,"01f",0.0708767229530867
"8237","FBgn0037697","GstZ2",16,720.909205236838,706.597501742477,710.876928908422,701.740236453384,695.77969734839,646.840381765474,681.554607190701,664.683891780907,684.805176185814,639.269605595067,722.328588203135,713.375761850619,723.945560108577,699.981781954656,721.966783109125,724.044078833576,675.347127826293,666.276095330925,677.018526583453,674.375891149782,"16f",0.279217043667587
"8250","FBgn0037715","CG9399",12,700.729113034092,641.422605989396,704.095942192872,644.151112557297,690.21727418406,620.996280343033,699.949747000443,630.949904001004,695.486665458514,625.082605766173,697.814410481963,645.715952874056,699.125337774399,677.661888371482,685.696983300989,669.625104993854,701.905798886238,637.504001732798,688.842553921282,664.474313282266,"12f",0.37095434505277
"8253","FBgn0037718","P58IPK",12,690.33022057773,642.539915229936,690.440591304914,645.44638450399,693.829811832368,632.590921359412,694.320164482717,642.754696822414,697.506493156296,636.253271136499,687.598536866508,659.257224689052,686.655569892483,673.844413455604,688.788251663928,667.127756070972,690.559553394623,657.632994247244,688.489588865439,664.667880270177,"12f",0.0398760287288323
"8264","FBgn0037731","CG18542",1,483.369979576073,485.650508843418,486.703535634203,488.106021457722,487.877120005887,489.719229915957,488.017151268072,490.601866664513,489.967105792634,492.054748473103,497.357816820403,496.144748662306,495.335595183457,495.745217479397,499.347029366074,500.678072829469,500.380963782353,497.613710010924,499.500376237214,499.427076641924,"01f",0.0393423711569805
"8268","FBgn0037739","CG12948",2,452.882469193946,437.917119913138,455.138499160976,441.192216583897,454.995971447836,440.129485032614,454.052732329554,440.94636732299,457.921573619285,444.991534986214,454.776197263851,449.173288249441,456.021447144873,453.497495672367,455.15884569424,451.96980700764,457.069559391038,451.944418606833,458.642455554199,455.153691005507,"02f",0.0412001079476084
