"","geneid","gene_name","int_25C","cos_25C","sin_25C","decaycos","decaysin","decayint","cos_18C","sin_18C","lambda","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","small_tpm","nboot","niter","convergence"
"16321","FBgn0266649","lncRNA:CR45156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16322","FBgn0266650","lncRNA:CR45157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16323","FBgn0266651","lncRNA:CR45158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16324","FBgn0266652","lncRNA:CR45159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16325","FBgn0266653","asRNA:CR45160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16326","FBgn0266654","asRNA:CR45161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16327","FBgn0266655","asRNA:CR45162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16328","FBgn0266656","asRNA:CR45163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16329","FBgn0266657","asRNA:CR45164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16330","FBgn0266666","Sem1",459.759465467254,-50.2451639415564,41.6729624576547,11530.4166503084,2458.2910304172,-11722.4549606957,141.680248721642,-47.2449195369775,0.90008105004054,0.058,0.008,0.001,0.15,0.534,0.074,FALSE,1000,64,TRUE
"16331","FBgn0266667","Exo70",13.7735266302964,0.293533048673233,-1.42453258811804,38.9048199497356,-3.01899764702748,-40.0880190231658,1.36188730374538,1.64923072459241,0.487556052012529,0.001,0,0.003,0.004,0.482,0.728,FALSE,1000,114,TRUE
"16332","FBgn0266668","Exo84",22.8931690659121,0.254932381784484,0.36753387929569,4.86486180765608,0.371598854260228,-3.9400345322861,-0.919861492161367,0.246883958578556,0.0369164238558244,0.823,0.474,0.872,0.78,0.616,0.902,FALSE,1000,80,TRUE
"16333","FBgn0266669","Sec3",11.4596939492575,-0.160518940766136,-0.139401131253872,0.661568508514073,1.29251655672147,-4.18688323107685,1.60758343071478,-0.654254399089561,0.0401607464538401,0.793,0.262,0.198,0.69,0.17,0.008,FALSE,1000,72,TRUE
"16334","FBgn0266670","Sec5",18.7601829542456,0.679582054428108,-0.505982770729646,7.7428666151249,-0.921632892237575,-7.0458823957159,-0.280648719042648,-0.229763959763802,0.13061190591366,0.106,0.246,0.89,0.65,0.932,0.446,FALSE,1000,66,TRUE
"16335","FBgn0266671","Sec6",7.10641856145534,-0.336423834525214,-0.0333258502175969,139.483591144402,15.1115526422958,-140.142047100038,0.532994675456223,-0.0242256878979222,0.819543232878989,0.548,0.521,0.358,0.96,0.844,0.592,FALSE,1000,114,TRUE
"16336","FBgn0266672","Sec8",26.4485370117926,0.800697453802472,-0.331946542754658,25.8328744049712,-28.454758946745,-25.5888995649076,1.82811414402323,-0.028392650663535,0.489874485670224,0.052,0.147,0.353,0.56,0.118,0.012,FALSE,1000,69,TRUE
"16337","FBgn0266673","Sec10",19.2999933365036,-0.891005047477587,-1.30476838265745,2.09048642171043,1.53717523067611,-5.1347804041041,1.54464268812056,0.315773453422276,0.0391636801741019,0.082,0.617,0.163,0.43,0.856,0.104,FALSE,1000,110,TRUE
"16338","FBgn0266674","Sec15",10.3546859569584,-0.124118341635338,0.0854050188991831,-0.482608829065431,0.929429856472146,-3.31828873606751,1.7620836107205,-1.10499423667983,0.0344641380635552,0.917,0.037,0.041,0.922,0.044,0.002,FALSE,1000,74,TRUE
"16339","FBgn0266675","lncRNA:CR45165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16340","FBgn0266676","lncRNA:CR45166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16341","FBgn0266677","asRNA:CR45167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16342","FBgn0266678","lncRNA:CR45168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16343","FBgn0266679","lncRNA:CR45169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16344","FBgn0266680","lncRNA:CR45170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
