"","geneid","genename","geneindex","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","type","model","TRUE_lambda","typematch","TransSig","dAICc","nextmodel"
"121","FBgn0260775","DnaJ-60",4114,0.012,0.001,0.835,0.662,0.664,0,14,"14p",Inf,1,0,1.90213145134851,"14f"
"4","FBgn0000479","dnc",50,0.037,0.066,0.003,0.55,0.882,0.86,11,"11p",Inf,1,0,1.30166689856941,"01p"
"25","FBgn0004907","14-3-3zeta",284,0.377,0.549,0.964,0.902,0.972,0.016,2,"02p",Inf,1,0,1.86992418928651,"14p"
"58","FBgn0025697","santa-maria",802,0.469,0.313,0.206,1,0.48,0.002,2,"02p",Inf,1,0,1.60877870382933,"02f"
"83","FBgn0034758","CG13510",2234,0.037,0.039,0.739,0.452,0.978,0.386,13,"13p",0,1,0,1.93176986829098,"14p"
"18","FBgn0003015","osk",152,0.764,0.475,0.55,0.868,0.102,0.138,1,"01p",0,1,0,1.85611621873056,"11p"
"81","FBgn0034335","GstE1",2129,0.071,0.814,0.789,0.92,0.904,0.336,1,"01p",0,1,0,0.351875822160025,"12p"
"22","FBgn0004237","Hrb87F",235,0.172,0.14,0.091,0.24,0.1,0,2,"08f",0.550028844461723,0,1,1.76864150944152,"02f"
"49","FBgn0020278","loco",618,0.093,0.009,0.069,0.244,0.06,0,6,"08f",0.280406244284031,0,1,1.18605571778852,"14f"
"124","FBgn0261549","rdgA",4177,0.024,0.164,0.004,0.688,0.132,0.06,11,"12f",0.280298019641392,0,1,1.14894270830308,"12p"
"78","FBgn0033264","Nup50",1883,0.918,0.209,0.228,0.902,0.028,0,2,"08f",0.129735984880366,0,1,3.91133560720584,"02f"
"123","FBgn0261403","sxc",4165,0.024,0.059,0.173,0.116,0.82,0,10,"14f",0.0703989122610877,0,1,1.40914807735402,"08f"
"130","FBgn0263106","DnaJ-1",4283,0.268,0.233,0.23,0.41,0.414,0.308,1,"13f",0.0400293008850917,0,1,0.930279668999447,"01f"
"117","FBgn0060296","pain",3862,0.006,0.278,0.03,0.292,0.686,0,12,"02f",0.0399060453895901,0,1,0.254854540121357,"12f"
