"","geneid","genename","geneindex","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","type","model","TRUE_lambda","typematch","TransSig","dAICc","nextmodel"
"719","FBgn0267978","ap",4503,0.079,0.014,0.012,0.026,0.704,0.688,7,"11p",Inf,0,0,0.576547407985345,"12p"
"33","FBgn0000568","Eip75B",63,0.99,0.001,0.251,0.914,0.25,0.008,6,"08p",Inf,0,0,0.171135420570408,"08f"
"117","FBgn0003507","srp",200,0.683,0.413,0.708,0.924,0.29,0,2,"08p",Inf,0,0,0.286422850451572,"14p"
"173","FBgn0005612","Sox14",299,0.017,0.163,0.749,0.452,0.906,0,10,"08p",Inf,0,0,0.53227073087487,"14p"
"242","FBgn0016917","Stat92E",582,0.153,0.131,0.1,0.274,0.674,0.664,1,"08p",Inf,0,0,0.985473049361644,"16p"
"382","FBgn0032694","MESR3",1740,0.918,0.151,0.303,0.814,0.384,0.006,2,"08p",Inf,0,0,1.41119985735349,"02p"
"386","FBgn0032815","CG10462",1774,0.224,0.014,0.052,0.124,0.022,0.058,5,"08p",Inf,0,0,0.757542789548268,"08f"
"697","FBgn0263738","Ada2a",4317,0.434,0.098,0.11,0.394,0.412,0,2,"08p",Inf,0,0,0.0634915038686472,"08f"
"285","FBgn0025525","bab2",779,0.079,0.413,0.58,0.45,0.752,0.246,1,"07p",Inf,0,0,0.20157295914322,"01p"
"645","FBgn0086680","vvl",3975,0,0.011,0.006,0.104,0.496,0.628,15,"07p",Inf,0,0,0.643099055601624,"16p"
"75","FBgn0002521","pho",127,0.365,0.047,0.095,0.608,0.022,0,6,"02p",Inf,0,0,0.381201626587142,"08f"
"164","FBgn0004893","bowl",282,0.593,0.028,0.115,0.46,0.426,0.026,6,"02p",Inf,0,0,0.54691583662634,"01p"
"340","FBgn0030400","Pits",1223,0.285,0.024,0.086,0.154,0.284,0,6,"02p",Inf,0,0,0.605781125591022,"08f"
"392","FBgn0033010","Atf6",1823,0.061,0.125,0.009,0.45,0.956,0,4,"02p",Inf,0,0,1.78121366612709,"14p"
"396","FBgn0033183","CG1620",1860,0.283,0.198,0.257,0.278,0.508,0.518,1,"02p",Inf,0,0,0.291924743821141,"01p"
"572","FBgn0039923","MED26",3383,0.159,0.013,0.025,0.108,0.012,0,8,"02p",Inf,0,0,2.14499597495154,"14p"
"26","FBgn0000492","Dr",53,0,0.119,0.176,0.1,0.294,0.626,9,"13p",0,0,0,0.267769010112431,"15p"
"97","FBgn0003053","peb",156,0.19,0.036,0.807,0.51,0.984,0.624,5,"13p",0,0,0,0.993287785704069,"13f"
"100","FBgn0003118","pnt",166,0.362,0.118,0.236,0.228,0.87,0.082,1,"13p",0,0,0,0.148587721888418,"14p"
"686","FBgn0262975","cnc",4276,0.039,0.04,0.097,0.064,0.484,0,14,"13p",0,0,0,0.533241809285869,"14p"
"63","FBgn0001297","kay",111,0.011,0.67,0.031,0.7,0.336,0.278,11,"01p",0,0,0,1.00698786022622,"11p"
"220","FBgn0014343","mirr",477,0.007,0.614,0.129,0.832,0.642,0.98,9,"01p",0,0,0,0.0194883211440811,"11f"
"649","FBgn0259211","grh",4030,0.985,0.013,0.374,0.946,0.632,0.242,5,"01p",0,0,0,1.69501931722999,"07p"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
